epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.65934,1.18808,4.98067,1.34033,0,0,0,0,0.6307,4.6522,0.89032,3.73333e-05,3.73333e-05,3.73333e-05
2,17.5482,0.7889,4.75376,1.05182,0,0,0,0,0.47134,4.48474,0.79151,7.65287e-05,7.65287e-05,7.65287e-05
3,25.1661,0.65664,4.48864,0.97607,0.00709,0.00193,0.00522,0.00469,0.50726,4.23013,0.78123,0.000115705,0.000115705,0.000115705
4,33.047,0.6227,4.28546,0.95677,0.01905,0.16044,0.02517,0.02298,0.48283,4.07575,0.78613,0.000154848,0.000154848,0.000154848
5,40.534,0.60023,4.02251,0.95027,0.02558,0.21662,0.05621,0.05156,0.47089,3.93516,0.80108,0.000193944,0.000193944,0.000193944
6,48.1063,0.57282,3.77621,0.92555,0.02698,0.27915,0.07517,0.06813,0.4905,3.96052,0.83766,0.000195701,0.000195701,0.000195701
7,55.6559,0.59828,3.55545,0.95107,0.72572,0.0814,0.08537,0.07627,0.48824,3.69592,0.83615,0.000195569,0.000195569,0.000195569
8,63.2647,0.57192,3.31113,0.96151,0.66039,0.10356,0.1175,0.10518,0.45544,3.51542,0.83119,0.000195414,0.000195414,0.000195414
9,70.8315,0.55612,3.1808,0.94917,0.58461,0.15858,0.1188,0.10482,0.47595,3.32797,0.84761,0.000195235,0.000195235,0.000195235
10,78.3211,0.57811,2.97365,0.97661,0.65612,0.16308,0.16001,0.14052,0.47714,3.21478,0.86081,0.000195032,0.000195032,0.000195032
11,85.8033,0.53398,2.76105,0.93855,0.73673,0.12979,0.17118,0.14983,0.47147,3.11086,0.85233,0.000194806,0.000194806,0.000194806
12,93.4539,0.57481,2.73365,0.98011,0.60469,0.20468,0.20319,0.18336,0.45891,2.97705,0.85125,0.000194555,0.000194555,0.000194555
13,100.964,0.57074,2.6686,0.97137,0.7073,0.19173,0.199,0.17947,0.44641,3.02456,0.83308,0.000194282,0.000194282,0.000194282
14,108.497,0.52868,2.56944,0.96336,0.66269,0.19414,0.19094,0.17075,0.44343,2.9459,0.84859,0.000193984,0.000193984,0.000193984
15,116.009,0.50715,2.42936,0.95904,0.72358,0.18224,0.19781,0.17651,0.45281,3.04874,0.84788,0.000193663,0.000193663,0.000193663
16,123.563,0.5322,2.39945,0.94586,0.73188,0.17453,0.20354,0.1857,0.44473,2.97516,0.84628,0.000193319,0.000193319,0.000193319
17,131.043,0.51442,2.34955,0.94258,0.65681,0.23827,0.22448,0.20301,0.45113,2.71643,0.84595,0.000192952,0.000192952,0.000192952
18,138.589,0.52016,2.3075,0.94972,0.65923,0.22566,0.2353,0.21071,0.45395,2.69449,0.85686,0.000192561,0.000192561,0.000192561
19,146.11,0.51356,2.20613,0.95506,0.71536,0.21978,0.22675,0.20619,0.4409,2.74909,0.85088,0.000192148,0.000192148,0.000192148
20,153.612,0.47192,2.13158,0.92172,0.67213,0.25991,0.25346,0.23198,0.43352,2.72657,0.85003,0.000191711,0.000191711,0.000191711
21,161.155,0.47402,2.07898,0.91929,0.72827,0.22172,0.2637,0.24193,0.42645,2.60086,0.84903,0.000191252,0.000191252,0.000191252
22,168.694,0.48545,2.06629,0.9402,0.6578,0.25669,0.26556,0.24322,0.43881,2.51263,0.85803,0.000190769,0.000190769,0.000190769
23,176.241,0.48403,2.01851,0.93453,0.72466,0.23121,0.27704,0.25466,0.42262,2.50401,0.84547,0.000190264,0.000190264,0.000190264
24,183.801,0.48297,1.93141,0.93279,0.74884,0.22293,0.30267,0.27928,0.4328,2.44378,0.83928,0.000189737,0.000189737,0.000189737
