epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.95,1.16783,4.86551,1.33893,0,0,0,0,0.6273,4.65469,0.88625,3.73333e-05,3.73333e-05,3.73333e-05
2,23.4394,0.72899,4.64258,1.03907,0,0,0,0,0.48031,4.40159,0.78998,7.65287e-05,7.65287e-05,7.65287e-05
3,31.8457,0.62713,4.42701,0.95358,0.00861,0.00387,0.00511,0.0046,0.45924,4.20645,0.77704,0.000115705,0.000115705,0.000115705
4,40.1869,0.59043,4.2313,0.94103,0.02319,0.19405,0.02904,0.02687,0.47857,4.07763,0.78803,0.000154848,0.000154848,0.000154848
5,48.3631,0.5702,4.1101,0.94313,0.0178,0.37908,0.04934,0.04637,0.44487,3.88939,0.787,0.000193944,0.000193944,0.000193944
6,56.2126,0.52331,3.9487,0.9072,0.01766,0.52467,0.06232,0.05821,0.4429,3.64001,0.79266,0.000195701,0.000195701,0.000195701
7,64.0192,0.52239,3.78546,0.91841,0.26712,0.35916,0.06654,0.06179,0.4192,3.38181,0.80483,0.000195569,0.000195569,0.000195569
8,71.9633,0.5308,3.63775,0.93295,0.44879,0.12948,0.08231,0.07571,0.44923,3.16494,0.83293,0.000195414,0.000195414,0.000195414
9,79.7564,0.53097,3.47808,0.92763,0.42743,0.19809,0.11412,0.10434,0.43083,3.04306,0.82474,0.000195235,0.000195235,0.000195235
10,87.6907,0.55632,3.35383,0.96102,0.46939,0.27531,0.13243,0.12126,0.43503,2.94647,0.83189,0.000195032,0.000195032,0.000195032
11,95.4361,0.53789,3.18276,0.94393,0.47406,0.22591,0.16294,0.14789,0.42817,2.95195,0.84683,0.000194806,0.000194806,0.000194806
12,103.133,0.53123,3.07372,0.95869,0.44617,0.2942,0.17457,0.15716,0.40933,2.74951,0.83345,0.000194555,0.000194555,0.000194555
13,111.081,0.51129,2.90157,0.94167,0.29819,0.35188,0.19494,0.17787,0.40261,2.74063,0.83128,0.000194282,0.000194282,0.000194282
14,118.82,0.5211,2.86288,0.94329,0.46134,0.24889,0.20855,0.18976,0.40424,2.58625,0.84247,0.000193984,0.000193984,0.000193984
15,126.446,0.48044,2.65682,0.94284,0.29955,0.42588,0.22185,0.20202,0.39676,2.50915,0.83992,0.000193663,0.000193663,0.000193663
16,134.404,0.51208,2.64229,0.93842,0.45378,0.31473,0.24597,0.22527,0.40456,2.40172,0.85649,0.000193319,0.000193319,0.000193319
17,142.493,0.51911,2.56481,0.95679,0.36511,0.44187,0.28407,0.26133,0.40896,2.32347,0.8569,0.000192952,0.000192952,0.000192952
18,150.617,0.47838,2.41754,0.94182,0.34243,0.45672,0.30528,0.28097,0.40025,2.1914,0.86344,0.000192561,0.000192561,0.000192561
19,158.568,0.47971,2.42583,0.95725,0.36926,0.40449,0.32802,0.30142,0.42097,2.11663,0.88677,0.000192148,0.000192148,0.000192148
20,166.563,0.48134,2.29199,0.94893,0.40256,0.43791,0.32726,0.29995,0.40267,2.08642,0.86111,0.000191711,0.000191711,0.000191711
21,174.051,0.4589,2.22029,0.93269,0.38263,0.4833,0.3776,0.34719,0.41151,2.03083,0.87092,0.000191252,0.000191252,0.000191252
22,181.563,0.47533,2.20739,0.94875,0.41369,0.49016,0.40715,0.37751,0.3985,1.9056,0.87576,0.000190769,0.000190769,0.000190769
23,189.071,0.4597,2.11273,0.93456,0.39284,0.50398,0.41866,0.39039,0.39087,1.79189,0.87117,0.000190264,0.000190264,0.000190264
24,196.559,0.4638,2.09616,0.937,0.48264,0.48726,0.4728,0.43809,0.3964,1.79895,0.87118,0.000189737,0.000189737,0.000189737
25,203.978,0.47689,2.04322,0.938,0.44311,0.55358,0.47993,0.44656,0.40685,1.67193,0.88071,0.000189187,0.000189187,0.000189187
26,211.48,0.43052,1.88309,0.91998,0.46974,0.5613,0.51387,0.47721,0.40705,1.59745,0.88406,0.000188615,0.000188615,0.000188615
27,219.055,0.47861,1.94114,0.9519,0.50989,0.5833,0.5703,0.52667,0.41697,1.58579,0.89366,0.000188021,0.000188021,0.000188021
