epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.88413,1.00359,4.84068,1.21458,0,0,0,0,0.59523,4.67841,0.88592,3.528e-05,3.528e-05,3.528e-05
2,15.9536,0.63617,4.62371,0.97169,0,0,0,0,0.46192,4.50723,0.79169,7.2161e-05,7.2161e-05,7.2161e-05
3,23.0193,0.59269,4.4608,0.91164,0,0,0,0,0.46287,4.21234,0.77263,0.000108673,0.000108673,0.000108673
4,29.9533,0.53244,4.24966,0.8877,0.00416,0.02785,0.00442,0.00403,0.45625,4.12255,0.77429,0.000144817,0.000144817,0.000144817
5,36.7966,0.51983,4.09058,0.88097,0.01882,0.304,0.03221,0.02954,0.44046,3.97816,0.78138,0.000180592,0.000180592,0.000180592
6,43.6859,0.51282,3.95865,0.88709,0.0204,0.46322,0.05271,0.04928,0.43432,3.79838,0.79474,0.000191149,0.000191149,0.000191149
7,50.5506,0.49856,3.8279,0.88837,0.02204,0.59804,0.06579,0.06102,0.43056,3.53068,0.81091,0.000190179,0.000190179,0.000190179
8,57.3931,0.49368,3.6805,0.88356,0.3295,0.24528,0.0882,0.08128,0.4234,3.32776,0.82454,0.000189209,0.000189209,0.000189209
9,64.2539,0.49907,3.5422,0.89498,0.51439,0.14495,0.10711,0.09736,0.4134,3.20433,0.82786,0.000188238,0.000188238,0.000188238
10,71.0825,0.48416,3.39717,0.90017,0.48843,0.22235,0.12654,0.11556,0.44068,2.90361,0.8389,0.000187268,0.000187268,0.000187268
11,77.9145,0.47716,3.15976,0.90327,0.46229,0.22499,0.16267,0.15045,0.41586,2.85035,0.84375,0.000186298,0.000186298,0.000186298
12,84.7711,0.49809,3.12205,0.91254,0.34465,0.30385,0.1675,0.15142,0.44692,2.69101,0.85241,0.000185328,0.000185328,0.000185328
13,91.559,0.49211,2.96342,0.91525,0.33456,0.37458,0.19351,0.1754,0.42169,2.52082,0.86131,0.000184358,0.000184358,0.000184358
14,98.4627,0.47399,2.82104,0.91544,0.47396,0.35234,0.22573,0.20893,0.41581,2.41512,0.86431,0.000183387,0.000183387,0.000183387
15,105.387,0.46062,2.74527,0.91521,0.48566,0.3187,0.26003,0.23773,0.41975,2.28303,0.88411,0.000182417,0.000182417,0.000182417
16,112.199,0.48669,2.63737,0.92593,0.39084,0.40092,0.29255,0.26975,0.40273,2.28862,0.87575,0.000181447,0.000181447,0.000181447
17,118.976,0.4811,2.60599,0.92417,0.32532,0.43016,0.3082,0.28564,0.42218,2.25214,0.88628,0.000180477,0.000180477,0.000180477
18,125.884,0.47373,2.46585,0.93124,0.39388,0.49418,0.36926,0.3381,0.42908,2.04642,0.90464,0.000179507,0.000179507,0.000179507
19,132.77,0.48373,2.41829,0.93771,0.42408,0.43571,0.40444,0.37771,0.39018,2.02614,0.87446,0.000178536,0.000178536,0.000178536
20,139.711,0.46027,2.34864,0.90479,0.41611,0.45287,0.45784,0.41797,0.41853,1.80953,0.90754,0.000177566,0.000177566,0.000177566
21,146.557,0.46598,2.3027,0.92075,0.43489,0.48168,0.46357,0.42932,0.40046,1.8051,0.88702,0.000176596,0.000176596,0.000176596
22,153.437,0.46098,2.17084,0.91473,0.44017,0.47448,0.47761,0.44638,0.39201,1.72448,0.88103,0.000175626,0.000175626,0.000175626
23,160.423,0.45894,2.09693,0.91704,0.44346,0.50844,0.48112,0.44819,0.38788,1.6435,0.89418,0.000174656,0.000174656,0.000174656
24,167.483,0.45286,2.04504,0.91293,0.44891,0.58662,0.53416,0.49248,0.40813,1.61835,0.90815,0.000173685,0.000173685,0.000173685
25,174.266,0.44908,1.98447,0.93,0.4334,0.58074,0.56974,0.52644,0.40814,1.52213,0.90377,0.000172715,0.000172715,0.000172715
26,181.109,0.46108,1.91593,0.92615,0.43516,0.61931,0.55825,0.5146,0.40244,1.50417,0.90168,0.000171745,0.000171745,0.000171745
27,187.97,0.44064,1.81396,0.92148,0.48118,0.60236,0.57793,0.53412,0.40929,1.43858,0.8973,0.000170775,0.000170775,0.000170775
28,194.878,0.43724,1.8241,0.91893,0.48959,0.65234,0.59296,0.54957,0.3976,1.42112,0.89474,0.000169805,0.000169805,0.000169805
29,201.7,0.43965,1.76208,0.9149,0.53426,0.59295,0.60226,0.55715,0.39063,1.4207,0.88971,0.000168834,0.000168834,0.000168834
30,208.656,0.43958,1.70619,0.9168,0.53559,0.67736,0.65925,0.60448,0.41638,1.26361,0.90851,0.000167864,0.000167864,0.000167864
31,215.588,0.42701,1.6445,0.91374,0.59532,0.68886,0.68237,0.62998,0.40904,1.2512,0.90325,0.000166894,0.000166894,0.000166894
32,222.518,0.43767,1.61066,0.92449,0.58196,0.68427,0.71284,0.65714,0.40109,1.16047,0.89596,0.000165924,0.000165924,0.000165924
33,229.423,0.43158,1.54542,0.91203,0.60191,0.71583,0.72764,0.67735,0.39842,1.1445,0.89066,0.000164954,0.000164954,0.000164954
34,236.388,0.43712,1.50795,0.9176,0.6648,0.7053,0.73817,0.68709,0.39351,1.11282,0.89132,0.000163983,0.000163983,0.000163983
35,243.244,0.42992,1.44938,0.91697,0.69173,0.66572,0.73826,0.68537,0.39035,1.10566,0.88867,0.000163013,0.000163013,0.000163013
36,250.109,0.43239,1.42474,0.90813,0.66234,0.72761,0.76782,0.71364,0.40163,1.07229,0.88949,0.000162043,0.000162043,0.000162043
37,256.984,0.43206,1.43964,0.93799,0.67608,0.74974,0.7758,0.71993,0.39669,1.0825,0.89026,0.000161073,0.000161073,0.000161073
38,263.885,0.41943,1.38537,0.90438,0.74532,0.74015,0.79262,0.74151,0.38545,0.99046,0.89253,0.000160103,0.000160103,0.000160103
39,270.729,0.42147,1.40884,0.91901,0.71718,0.76394,0.82153,0.76057,0.38673,1.00017,0.88182,0.000159132,0.000159132,0.000159132
40,277.6,0.42364,1.3315,0.9095,0.61386,0.8132,0.80609,0.75117,0.39678,0.99433,0.88641,0.000158162,0.000158162,0.000158162
41,284.357,0.40919,1.28274,0.9101,0.67247,0.80443,0.8133,0.76008,0.38755,0.92318,0.88214,0.000157192,0.000157192,0.000157192
42,291.295,0.41118,1.23295,0.89787,0.69108,0.77444,0.79735,0.74625,0.37849,0.96722,0.87638,0.000156222,0.000156222,0.000156222
43,298.156,0.41729,1.27167,0.91808,0.69601,0.8127,0.83151,0.77516,0.38797,0.91787,0.87998,0.000155252,0.000155252,0.000155252
44,305.046,0.4084,1.23362,0.89772,0.69375,0.80506,0.83104,0.77728,0.3757,0.93537,0.86761,0.000154281,0.000154281,0.000154281
45,311.912,0.41771,1.25007,0.90058,0.74779,0.80657,0.85963,0.80094,0.38073,0.86422,0.8766,0.000153311,0.000153311,0.000153311
46,318.804,0.40833,1.20785,0.91303,0.67822,0.8723,0.85886,0.80122,0.37831,0.89665,0.86993,0.000152341,0.000152341,0.000152341
47,325.673,0.40757,1.17428,0.8978,0.73554,0.79749,0.83753,0.78144,0.38251,0.85413,0.87006,0.000151371,0.000151371,0.000151371
48,332.609,0.41874,1.12783,0.8994,0.71851,0.83392,0.84585,0.79258,0.37939,0.86082,0.86546,0.000150401,0.000150401,0.000150401
49,339.461,0.39516,1.09179,0.89105,0.74228,0.8262,0.85873,0.80679,0.37924,0.85082,0.86794,0.00014943,0.00014943,0.00014943
50,346.35,0.3992,1.10016,0.88803,0.72804,0.85368,0.862,0.80466,0.374,0.84948,0.86087,0.00014846,0.00014846,0.00014846
51,353.308,0.4017,1.06976,0.89616,0.77115,0.83975,0.86918,0.82201,0.36885,0.79263,0.86538,0.00014749,0.00014749,0.00014749
52,360.176,0.39949,1.0543,0.89075,0.82751,0.80367,0.88077,0.82604,0.38203,0.8206,0.87376,0.00014652,0.00014652,0.00014652
53,366.978,0.4038,1.09809,0.89771,0.80007,0.84945,0.88064,0.82889,0.37025,0.798,0.86485,0.00014555,0.00014555,0.00014555
54,373.886,0.40635,1.07685,0.90539,0.72609,0.89877,0.87881,0.81972,0.39084,0.78346,0.86917,0.000144579,0.000144579,0.000144579
55,380.756,0.40554,1.06411,0.89919,0.78263,0.85606,0.88653,0.83903,0.37176,0.76069,0.86603,0.000143609,0.000143609,0.000143609
56,387.687,0.40929,1.04665,0.89984,0.7877,0.84532,0.88737,0.83036,0.36578,0.74861,0.86088,0.000142639,0.000142639,0.000142639
57,394.494,0.39309,1.02208,0.88923,0.80253,0.84553,0.88107,0.82348,0.37754,0.76636,0.86994,0.000141669,0.000141669,0.000141669
58,401.336,0.40083,0.96882,0.89028,0.74782,0.89425,0.8957,0.83652,0.37108,0.72727,0.8639,0.000140699,0.000140699,0.000140699
59,408.192,0.38657,0.95046,0.88337,0.77882,0.8961,0.89647,0.83605,0.37623,0.75753,0.86442,0.000139728,0.000139728,0.000139728
60,415.065,0.39046,0.97295,0.88863,0.76181,0.91696,0.90394,0.8503,0.36803,0.73003,0.8643,0.000138758,0.000138758,0.000138758
61,421.971,0.40118,0.94308,0.88695,0.78157,0.89779,0.89243,0.83766,0.36801,0.73829,0.85895,0.000137788,0.000137788,0.000137788
62,428.928,0.38684,0.92719,0.88064,0.78323,0.90082,0.90489,0.84925,0.36384,0.74054,0.85578,0.000136818,0.000136818,0.000136818
63,435.825,0.39982,0.98133,0.89429,0.78045,0.90103,0.90874,0.85619,0.35927,0.71198,0.8571,0.000135848,0.000135848,0.000135848
64,442.763,0.37767,0.90453,0.88013,0.85584,0.84912,0.90251,0.84909,0.37488,0.66644,0.86576,0.000134877,0.000134877,0.000134877
65,449.6,0.38973,0.93336,0.87986,0.84475,0.86517,0.90554,0.85414,0.36334,0.6827,0.85315,0.000133907,0.000133907,0.000133907
66,456.46,0.38258,0.95232,0.88843,0.80899,0.91294,0.91777,0.86269,0.36799,0.70038,0.85183,0.000132937,0.000132937,0.000132937
67,463.422,0.38559,0.91234,0.89211,0.84601,0.87005,0.91307,0.85908,0.36941,0.71727,0.85572,0.000131967,0.000131967,0.000131967
68,470.432,0.38649,0.85605,0.87522,0.79362,0.92313,0.91615,0.86236,0.37761,0.67308,0.85948,0.000130997,0.000130997,0.000130997
69,477.337,0.38653,0.83472,0.88192,0.80398,0.91995,0.91267,0.85797,0.36886,0.67733,0.85442,0.000130026,0.000130026,0.000130026
70,484.257,0.39324,0.84271,0.87814,0.85318,0.89686,0.91177,0.85222,0.36302,0.66965,0.85467,0.000129056,0.000129056,0.000129056
71,491.101,0.39007,0.88609,0.88179,0.83136,0.88935,0.91057,0.8538,0.37702,0.68049,0.8614,0.000128086,0.000128086,0.000128086
72,497.892,0.38183,0.86379,0.89695,0.82633,0.88818,0.91303,0.85982,0.36299,0.68347,0.8513,0.000127116,0.000127116,0.000127116
73,504.631,0.37711,0.83482,0.88025,0.8652,0.87128,0.91554,0.85987,0.36259,0.65706,0.85152,0.000126146,0.000126146,0.000126146
74,511.544,0.38183,0.81625,0.8796,0.80673,0.92182,0.92377,0.87172,0.36662,0.65793,0.85118,0.000125175,0.000125175,0.000125175
75,518.35,0.37682,0.82101,0.88381,0.82066,0.9092,0.92047,0.86814,0.35852,0.67131,0.85168,0.000124205,0.000124205,0.000124205
76,525.263,0.37719,0.83162,0.88817,0.83166,0.903,0.92461,0.87135,0.36175,0.65293,0.8529,0.000123235,0.000123235,0.000123235
77,532.173,0.38172,0.81698,0.8781,0.84143,0.89373,0.917,0.8615,0.36687,0.63778,0.86085,0.000122265,0.000122265,0.000122265
78,539.005,0.37962,0.83023,0.88926,0.8542,0.88252,0.91628,0.8603,0.36129,0.67613,0.85212,0.000121295,0.000121295,0.000121295
79,545.843,0.37937,0.799,0.87917,0.86353,0.8737,0.91396,0.86298,0.37317,0.6948,0.85797,0.000120324,0.000120324,0.000120324
