epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.96067,1.21138,4.91717,1.35244,0,0,0,0,0.68778,4.67127,0.95011,1.96e-06,1.96e-06,1.96e-06
2,4.62571,1.25586,4.89087,1.35952,0,0,0,0,0.69357,4.67125,0.95293,5.85089e-06,5.85089e-06,5.85089e-06
3,6.30676,1.22111,4.94258,1.31172,0,0,0,0,0.67369,4.66796,0.94058,9.70298e-06,9.70298e-06,9.70298e-06
4,8.18554,1.27869,4.91926,1.33243,0,0,0,0,0.65583,4.66262,0.92371,1.35163e-05,1.35163e-05,1.35163e-05
5,10.0276,0.9954,4.78582,1.23201,0,0,0,0,0.63507,4.65985,0.9087,1.72907e-05,1.72907e-05,1.72907e-05
6,11.8936,1.06233,4.94272,1.20108,0,0,0,0,0.61663,4.66557,0.89908,2.10264e-05,2.10264e-05,2.10264e-05
7,13.7682,0.92413,4.88943,1.12774,0,0,0,0,0.6116,4.6677,0.89234,2.47232e-05,2.47232e-05,2.47232e-05
8,15.6083,0.93515,4.91677,1.14023,0,0,0,0,0.60177,4.65964,0.88321,2.83813e-05,2.83813e-05,2.83813e-05
9,17.3392,0.78596,4.77169,1.057,0,0,0,0,0.59726,4.64947,0.87731,3.20005e-05,3.20005e-05,3.20005e-05
10,19.086,0.78478,4.78174,1.03078,0,0,0,0,0.59083,4.6352,0.86839,3.5581e-05,3.5581e-05,3.5581e-05
11,20.8147,0.83207,4.83019,1.04615,0,0,0,0,0.58198,4.62048,0.86135,3.91226e-05,3.91226e-05,3.91226e-05
12,22.5509,0.75689,4.76657,1.0153,0,0,0,0,0.57258,4.58729,0.84991,4.26254e-05,4.26254e-05,4.26254e-05
13,24.3151,0.77641,4.67802,1.01138,0,0,0,0,0.55794,4.56784,0.84213,4.60894e-05,4.60894e-05,4.60894e-05
14,26.0582,0.68167,4.68245,0.95886,0,0,0,0,0.54571,4.54821,0.83086,4.95146e-05,4.95146e-05,4.95146e-05
15,27.811,0.7039,4.57851,0.97477,0,0,0,0,0.52878,4.52853,0.82048,5.2901e-05,5.2901e-05,5.2901e-05
16,29.5765,0.70554,4.62773,0.95651,0,0,0,0,0.51625,4.49975,0.81002,5.62486e-05,5.62486e-05,5.62486e-05
17,31.3689,0.66129,4.60292,0.94164,0,0,0,0,0.50321,4.47616,0.80323,5.95573e-05,5.95573e-05,5.95573e-05
18,33.1781,0.62458,4.56217,0.93128,0,0,0,0,0.50533,4.43479,0.79888,6.28273e-05,6.28273e-05,6.28273e-05
19,34.8746,0.6377,4.55572,0.90733,0,0,0,0,0.51751,4.39559,0.796,6.60585e-05,6.60585e-05,6.60585e-05
20,36.6265,0.66407,4.6196,0.91514,0,0,0,0,0.52763,4.35439,0.79603,6.92508e-05,6.92508e-05,6.92508e-05
21,38.3792,0.64262,4.57618,0.93297,0,0,0,0,0.53254,4.32192,0.79607,7.24044e-05,7.24044e-05,7.24044e-05
22,40.1412,0.6321,4.51048,0.91722,0,0,0,0,0.54523,4.29692,0.79476,7.55191e-05,7.55191e-05,7.55191e-05
23,41.9402,0.6242,4.54975,0.89817,0,0,0,0,0.54463,4.27557,0.79081,7.8595e-05,7.8595e-05,7.8595e-05
24,43.7286,0.5874,4.46889,0.89878,0,0,0,0,0.54249,4.25807,0.78765,8.16321e-05,8.16321e-05,8.16321e-05
25,45.5108,0.58869,4.43129,0.90937,0,0,0,0,0.52359,4.24191,0.78448,8.46304e-05,8.46304e-05,8.46304e-05
26,47.2547,0.60335,4.43054,0.89904,0,0,0,0,0.49633,4.23077,0.78055,8.75899e-05,8.75899e-05,8.75899e-05
27,49.031,0.59637,4.44005,0.88873,0,0,0,0,0.47831,4.22118,0.77788,9.05106e-05,9.05106e-05,9.05106e-05
28,50.7181,0.57496,4.31194,0.89979,0,0,0,0,0.47831,4.22118,0.77788,9.33925e-05,9.33925e-05,9.33925e-05
29,52.5129,0.60883,4.40532,0.89852,0.00304,0.00193,0.00171,0.00154,0.47386,4.20967,0.77638,9.62356e-05,9.62356e-05,9.62356e-05
30,54.3099,0.57911,4.39311,0.89623,0.00164,0.00193,0.00103,0.00092,0.47419,4.20042,0.77631,9.90399e-05,9.90399e-05,9.90399e-05
31,56.0093,0.5352,4.22869,0.89108,0.00164,0.00193,0.00103,0.00092,0.47419,4.20042,0.77631,0.000101805,0.000101805,0.000101805
32,57.8784,0.54733,4.33801,0.88135,0.00236,0.00387,0.00145,0.00137,0.47675,4.19084,0.77789,0.000104532,0.000104532,0.000104532
33,59.6501,0.58601,4.2825,0.8892,0.0017,0.00387,0.00115,0.00115,0.4732,4.17754,0.77776,0.00010722,0.00010722,0.00010722
34,61.3583,0.56081,4.20118,0.89406,0.0017,0.00387,0.00115,0.00115,0.4732,4.17754,0.77776,0.000109869,0.000109869,0.000109869
