epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.91254,1.11364,4.88792,1.28793,0,0,0,0,0.63366,4.66362,0.90567,1.96e-05,1.96e-05,1.96e-05
2,10.6072,0.78466,4.73516,1.06529,0,0,0,0,0.57513,4.63071,0.85966,4.09563e-05,4.09563e-05,4.09563e-05
3,15.176,0.65142,4.62804,0.97609,0,0,0,0,0.48862,4.562,0.81429,6.20991e-05,6.20991e-05,6.20991e-05
4,19.6217,0.55264,4.47273,0.91039,0,0,0,0,0.49772,4.35861,0.79218,8.30284e-05,8.30284e-05,8.30284e-05
5,23.9404,0.57228,4.42793,0.89478,0,0,0,0,0.49553,4.21708,0.7759,0.000103744,0.000103744,0.000103744
6,28.3603,0.53745,4.28648,0.89568,0.00487,0.01025,0.00302,0.00268,0.46808,4.16335,0.77283,0.000124247,0.000124247,0.000124247
7,32.6755,0.50647,4.1711,0.88061,0.01349,0.09331,0.01805,0.01695,0.45802,4.11657,0.77254,0.000144536,0.000144536,0.000144536
8,37.1228,0.50415,4.09063,0.87205,0.01626,0.18644,0.03098,0.02857,0.44682,4.04952,0.77995,0.000164611,0.000164611,0.000164611
9,41.3676,0.51864,4.06302,0.8852,0.02257,0.27547,0.0472,0.04283,0.4475,4.00677,0.78293,0.000184474,0.000184474,0.000184474
10,45.7181,0.49252,3.92799,0.88176,0.02467,0.34705,0.04906,0.04547,0.43613,3.95341,0.79894,0.000187268,0.000187268,0.000187268
11,50.081,0.49713,3.8716,0.87538,0.02626,0.41752,0.05097,0.04699,0.42476,3.86443,0.80168,0.000186298,0.000186298,0.000186298
12,54.4471,0.46547,3.73858,0.87582,0.02397,0.54262,0.05606,0.05113,0.42685,3.69968,0.80618,0.000185328,0.000185328,0.000185328
13,58.9549,0.47622,3.68639,0.88725,0.02177,0.66231,0.06109,0.05584,0.41876,3.52776,0.81021,0.000184358,0.000184358,0.000184358
14,63.433,0.48559,3.67638,0.87816,0.02097,0.65558,0.07451,0.0682,0.4242,3.41801,0.81128,0.000183387,0.000183387,0.000183387
15,67.8136,0.476,3.50501,0.8783,0.34541,0.21048,0.09076,0.08174,0.41576,3.29508,0.81805,0.000182417,0.000182417,0.000182417
16,72.2377,0.46547,3.48246,0.88986,0.46669,0.0938,0.09192,0.08233,0.42767,3.26151,0.82912,0.000181447,0.000181447,0.000181447
17,76.5138,0.46917,3.37064,0.88678,0.45124,0.10982,0.09899,0.0889,0.42435,3.18951,0.82683,0.000180477,0.000180477,0.000180477
18,80.8988,0.49156,3.26199,0.91056,0.40279,0.19726,0.1248,0.11297,0.41638,2.96326,0.82454,0.000179507,0.000179507,0.000179507
19,85.2245,0.46941,3.22947,0.89899,0.40655,0.18195,0.12904,0.11759,0.40607,2.8449,0.83217,0.000178536,0.000178536,0.000178536
20,89.6283,0.47102,3.13372,0.89626,0.36815,0.22795,0.16118,0.14762,0.42775,2.75498,0.85266,0.000177566,0.000177566,0.000177566
21,93.9323,0.47819,2.99156,0.9106,0.34336,0.27767,0.17127,0.15618,0.4069,2.66302,0.83881,0.000176596,0.000176596,0.000176596
22,98.2835,0.48472,2.96883,0.90889,0.29592,0.32571,0.17377,0.15785,0.41852,2.61229,0.83877,0.000175626,0.000175626,0.000175626
23,102.635,0.46367,2.93081,0.89612,0.53221,0.18148,0.19145,0.17478,0.4401,2.48908,0.87666,0.000174656,0.000174656,0.000174656
24,107.026,0.47896,2.84164,0.92607,0.38834,0.27735,0.21571,0.19329,0.44575,2.45217,0.88307,0.000173685,0.000173685,0.000173685
25,111.337,0.48424,2.76412,0.91037,0.5075,0.24634,0.24053,0.21956,0.4322,2.40339,0.88365,0.000172715,0.000172715,0.000172715
26,115.737,0.44753,2.76804,0.89985,0.53782,0.27933,0.26198,0.23618,0.44087,2.2934,0.89017,0.000171745,0.000171745,0.000171745
27,120.192,0.47001,2.71591,0.92192,0.27188,0.45284,0.26867,0.24263,0.42721,2.2624,0.87648,0.000170775,0.000170775,0.000170775
28,124.635,0.44532,2.56567,0.9151,0.31537,0.42218,0.25825,0.23663,0.41263,2.27407,0.87245,0.000169805,0.000169805,0.000169805
29,128.926,0.47691,2.56369,0.91868,0.36258,0.35741,0.28684,0.26168,0.41106,2.19862,0.87741,0.000168834,0.000168834,0.000168834
30,133.329,0.44619,2.52141,0.90913,0.35063,0.41293,0.31896,0.29375,0.4209,2.14763,0.88367,0.000167864,0.000167864,0.000167864
31,137.79,0.4556,2.43377,0.91979,0.45665,0.38509,0.35103,0.32244,0.41609,2.05529,0.87693,0.000166894,0.000166894,0.000166894
32,142.169,0.4365,2.35003,0.92113,0.37798,0.46369,0.36673,0.33633,0.42132,1.99622,0.8842,0.000165924,0.000165924,0.000165924
33,146.525,0.44908,2.29881,0.90581,0.39896,0.42924,0.37092,0.34251,0.4036,1.96584,0.87382,0.000164954,0.000164954,0.000164954
34,151.025,0.45309,2.35709,0.90808,0.41339,0.4017,0.39877,0.3685,0.4124,1.8978,0.88567,0.000163983,0.000163983,0.000163983
35,155.405,0.44278,2.22285,0.91295,0.41347,0.46079,0.42299,0.39071,0.41693,1.88279,0.88642,0.000163013,0.000163013,0.000163013
36,159.764,0.46154,2.24291,0.89884,0.50189,0.42175,0.43135,0.40213,0.39811,1.84403,0.85957,0.000162043,0.000162043,0.000162043
37,164.105,0.4339,2.12966,0.89992,0.33635,0.48602,0.42933,0.39971,0.39963,1.86673,0.86404,0.000161073,0.000161073,0.000161073
38,168.454,0.44546,2.13999,0.91652,0.41244,0.51507,0.47089,0.43386,0.42405,1.73085,0.89241,0.000160103,0.000160103,0.000160103
39,172.854,0.42917,1.99386,0.91765,0.58618,0.40703,0.49512,0.45516,0.41239,1.71179,0.88876,0.000159132,0.000159132,0.000159132
40,177.343,0.43183,1.98638,0.89784,0.42992,0.51354,0.52552,0.48394,0.43036,1.69135,0.89571,0.000158162,0.000158162,0.000158162
41,181.659,0.44646,1.94123,0.89881,0.52496,0.45612,0.51948,0.48104,0.40963,1.67697,0.87574,0.000157192,0.000157192,0.000157192
42,186.048,0.43606,2.00354,0.89434,0.44163,0.51682,0.49784,0.4565,0.42886,1.64173,0.88744,0.000156222,0.000156222,0.000156222
43,190.52,0.43418,1.78733,0.8892,0.50609,0.51308,0.50949,0.47197,0.41879,1.56473,0.8919,0.000155252,0.000155252,0.000155252
44,194.915,0.44327,1.80767,0.90204,0.40825,0.58903,0.5309,0.48763,0.43026,1.56189,0.89388,0.000154281,0.000154281,0.000154281
45,199.226,0.4472,1.85726,0.9133,0.47203,0.57488,0.54305,0.50125,0.4204,1.5346,0.89135,0.000153311,0.000153311,0.000153311
46,203.615,0.43033,1.76985,0.90188,0.49393,0.56524,0.55958,0.51753,0.42112,1.52976,0.88226,0.000152341,0.000152341,0.000152341
47,208.056,0.44196,1.74758,0.92068,0.48118,0.55853,0.55626,0.50955,0.42458,1.45881,0.89042,0.000151371,0.000151371,0.000151371
48,212.43,0.43886,1.72181,0.9099,0.45979,0.55081,0.56401,0.51626,0.42082,1.41875,0.88854,0.000150401,0.000150401,0.000150401
49,216.765,0.42626,1.75716,0.91776,0.47895,0.55872,0.55228,0.50979,0.40022,1.44,0.87746,0.00014943,0.00014943,0.00014943
50,221.247,0.41358,1.64992,0.90475,0.57463,0.49798,0.57253,0.53019,0.40088,1.39434,0.87824,0.00014846,0.00014846,0.00014846
51,225.688,0.42128,1.62066,0.89113,0.60799,0.52888,0.59699,0.55071,0.40728,1.34356,0.88059,0.00014749,0.00014749,0.00014749
52,230.126,0.41491,1.61511,0.90547,0.58809,0.58417,0.60037,0.55739,0.38934,1.32102,0.8728,0.00014652,0.00014652,0.00014652
53,234.476,0.42641,1.6079,0.91124,0.59553,0.58429,0.61611,0.5701,0.39732,1.29379,0.88072,0.00014555,0.00014555,0.00014555
54,238.921,0.42691,1.55332,0.89829,0.56033,0.57107,0.61875,0.57674,0.40257,1.3225,0.88783,0.000144579,0.000144579,0.000144579
55,243.331,0.41552,1.47481,0.89502,0.53403,0.63514,0.62299,0.58003,0.40007,1.31056,0.88735,0.000143609,0.000143609,0.000143609
56,247.766,0.41341,1.45617,0.89766,0.57333,0.62785,0.62946,0.57907,0.40593,1.29333,0.88497,0.000142639,0.000142639,0.000142639
57,252.106,0.42276,1.46194,0.92298,0.66683,0.54214,0.63799,0.59016,0.40358,1.27626,0.88571,0.000141669,0.000141669,0.000141669
58,256.627,0.42153,1.46387,0.90994,0.5986,0.59058,0.65587,0.60543,0.40244,1.24194,0.88695,0.000140699,0.000140699,0.000140699
59,261.022,0.4134,1.43142,0.9113,0.56842,0.63731,0.64787,0.60364,0.39639,1.20819,0.8786,0.000139728,0.000139728,0.000139728
60,265.432,0.39407,1.3965,0.89499,0.5196,0.65632,0.65039,0.60195,0.39275,1.21964,0.87133,0.000138758,0.000138758,0.000138758
61,269.721,0.39925,1.38705,0.89072,0.54147,0.67264,0.65635,0.60571,0.39706,1.19821,0.87835,0.000137788,0.000137788,0.000137788
62,274.198,0.40111,1.36364,0.90067,0.56878,0.67415,0.66902,0.62274,0.39411,1.20978,0.87562,0.000136818,0.000136818,0.000136818
63,278.608,0.4127,1.40069,0.92134,0.56088,0.65014,0.68411,0.63462,0.38819,1.16124,0.87643,0.000135848,0.000135848,0.000135848
64,282.988,0.40375,1.42165,0.89672,0.5802,0.69025,0.70425,0.65608,0.39696,1.11616,0.88375,0.000134877,0.000134877,0.000134877
65,287.288,0.40119,1.36288,0.88001,0.65226,0.66535,0.71096,0.6596,0.40097,1.13114,0.88118,0.000133907,0.000133907,0.000133907
66,291.712,0.41097,1.38953,0.90603,0.67924,0.62721,0.71074,0.6597,0.40768,1.16594,0.8824,0.000132937,0.000132937,0.000132937
67,296.08,0.39666,1.25742,0.89949,0.67517,0.68341,0.72908,0.68011,0.39977,1.10191,0.88459,0.000131967,0.000131967,0.000131967
68,300.494,0.40757,1.2973,0.89528,0.70953,0.66943,0.74212,0.68966,0.39479,1.08602,0.87867,0.000130997,0.000130997,0.000130997
69,304.834,0.39906,1.25441,0.88815,0.68819,0.68632,0.74433,0.69145,0.39296,1.08025,0.87399,0.000130026,0.000130026,0.000130026
70,309.214,0.39404,1.30269,0.90137,0.71127,0.67763,0.76196,0.70669,0.41098,1.1163,0.87987,0.000129056,0.000129056,0.000129056
71,313.588,0.40551,1.3207,0.90601,0.71624,0.6882,0.76087,0.7118,0.39301,1.10882,0.86762,0.000128086,0.000128086,0.000128086
72,318.068,0.40993,1.27825,0.89378,0.60427,0.75472,0.77318,0.71771,0.40028,1.08558,0.87499,0.000127116,0.000127116,0.000127116
73,322.351,0.37476,1.26749,0.89313,0.63253,0.75056,0.76429,0.70716,0.40393,1.09823,0.87872,0.000126146,0.000126146,0.000126146
74,326.788,0.3919,1.17456,0.88185,0.63435,0.76615,0.77807,0.72505,0.40201,1.13601,0.87686,0.000125175,0.000125175,0.000125175
75,331.197,0.39254,1.21414,0.89025,0.72904,0.70077,0.78661,0.73241,0.40729,1.08784,0.87896,0.000124205,0.000124205,0.000124205
76,335.64,0.39006,1.18689,0.8874,0.73901,0.69568,0.78916,0.73433,0.39991,1.07742,0.87219,0.000123235,0.000123235,0.000123235
77,339.989,0.40594,1.25308,0.88637,0.67567,0.76791,0.79936,0.73862,0.40316,1.07269,0.87305,0.000122265,0.000122265,0.000122265
78,344.374,0.39954,1.20679,0.89779,0.70727,0.79323,0.79782,0.74264,0.39017,1.06437,0.87093,0.000121295,0.000121295,0.000121295
79,348.79,0.39071,1.14447,0.89286,0.72086,0.75943,0.80025,0.74146,0.39056,1.01143,0.87032,0.000120324,0.000120324,0.000120324
80,353.18,0.39191,1.24172,0.88251,0.78078,0.70285,0.80904,0.74818,0.40565,0.99874,0.87964,0.000119354,0.000119354,0.000119354
81,357.505,0.37804,1.14216,0.88202,0.68175,0.82995,0.8302,0.77277,0.40085,0.99402,0.87631,0.000118384,0.000118384,0.000118384
82,361.897,0.37113,1.18135,0.88196,0.74337,0.8018,0.82154,0.76546,0.38631,1.00951,0.86313,0.000117414,0.000117414,0.000117414
83,366.296,0.38101,1.09535,0.87765,0.78396,0.76842,0.8307,0.77515,0.38777,0.98312,0.86457,0.000116444,0.000116444,0.000116444
84,370.665,0.36979,1.08359,0.87546,0.73558,0.77746,0.83015,0.77535,0.39066,0.96626,0.86963,0.000115473,0.000115473,0.000115473
85,375.09,0.38035,1.07,0.89206,0.74076,0.77052,0.82564,0.76933,0.39897,0.96522,0.8711,0.000114503,0.000114503,0.000114503
86,379.404,0.37297,1.00999,0.87999,0.72981,0.79082,0.82184,0.76629,0.38996,0.94336,0.86565,0.000113533,0.000113533,0.000113533
87,383.763,0.38086,1.02825,0.88172,0.7367,0.8092,0.82927,0.76974,0.39211,0.9586,0.86554,0.000112563,0.000112563,0.000112563
88,388.128,0.38632,1.0288,0.87535,0.75287,0.78949,0.82015,0.76618,0.38839,0.9576,0.8616,0.000111593,0.000111593,0.000111593
89,392.507,0.38066,1.06061,0.88476,0.735,0.81612,0.82942,0.77379,0.37943,0.9333,0.85832,0.000110622,0.000110622,0.000110622
90,396.821,0.3709,1.00548,0.87862,0.78673,0.7721,0.83641,0.78011,0.38856,0.92233,0.86431,0.000109652,0.000109652,0.000109652
91,401.23,0.37671,0.97944,0.87069,0.77651,0.75591,0.83142,0.77182,0.39173,0.92735,0.86313,0.000108682,0.000108682,0.000108682
92,405.614,0.38116,0.97437,0.8789,0.74205,0.80259,0.83125,0.77618,0.38035,0.92056,0.85289,0.000107712,0.000107712,0.000107712
