epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.19874,1.07991,4.90486,1.24512,0,0,0,0,0.6177,4.65792,0.88602,2.744e-05,2.744e-05,2.744e-05
2,13.1407,0.66012,4.66138,0.98566,0,0,0,0,0.51794,4.55923,0.82013,5.65586e-05,5.65586e-05,5.65586e-05
3,19.0317,0.58444,4.49627,0.91475,0,0,0,0,0.48794,4.31175,0.78134,8.53862e-05,8.53862e-05,8.53862e-05
4,24.7456,0.55518,4.36431,0.89758,0.00305,0.006,0.00236,0.00208,0.4663,4.17971,0.77325,0.000113923,0.000113923,0.000113923
5,30.4411,0.52218,4.24704,0.88643,0.00888,0.09291,0.00907,0.00843,0.44757,4.09377,0.77476,0.000142168,0.000142168,0.000142168
6,36.0904,0.5256,4.13113,0.88195,0.02699,0.23428,0.03135,0.02861,0.43949,4.0246,0.77759,0.000170123,0.000170123,0.000170123
7,41.7203,0.50214,4.00046,0.87686,0.02381,0.30515,0.03954,0.03709,0.42159,3.9403,0.78583,0.000190179,0.000190179,0.000190179
8,47.3409,0.4885,3.9152,0.87462,0.02526,0.49626,0.05552,0.05137,0.41961,3.7714,0.79434,0.000189209,0.000189209,0.000189209
9,52.9311,0.48656,3.75925,0.88392,0.02229,0.63025,0.05955,0.05566,0.41666,3.53583,0.79969,0.000188238,0.000188238,0.000188238
10,58.5354,0.4844,3.65212,0.88541,0.02543,0.73168,0.07674,0.07105,0.41575,3.46322,0.80847,0.000187268,0.000187268,0.000187268
11,64.1443,0.49632,3.55081,0.87739,0.27858,0.2561,0.09665,0.08948,0.42354,3.25696,0.81294,0.000186298,0.000186298,0.000186298
12,69.7231,0.48334,3.44713,0.8821,0.43903,0.16886,0.13041,0.11904,0.4228,3.0875,0.82235,0.000185328,0.000185328,0.000185328
13,75.3037,0.48361,3.3078,0.89823,0.34964,0.25563,0.14788,0.13625,0.4252,2.85618,0.82872,0.000184358,0.000184358,0.000184358
14,80.9033,0.46925,3.20382,0.89444,0.45547,0.23517,0.16139,0.1481,0.41811,2.76966,0.8294,0.000183387,0.000183387,0.000183387
15,86.5842,0.48015,3.12104,0.88581,0.46288,0.19398,0.18645,0.16968,0.42778,2.8667,0.83946,0.000182417,0.000182417,0.000182417
16,92.2016,0.47038,3.03243,0.90895,0.42562,0.2661,0.19502,0.17783,0.4407,2.45114,0.87572,0.000181447,0.000181447,0.000181447
17,97.8317,0.47905,2.94057,0.90587,0.47865,0.25624,0.22716,0.20704,0.41826,2.35924,0.87664,0.000180477,0.000180477,0.000180477
18,103.589,0.47898,2.79066,0.90935,0.3451,0.36087,0.24183,0.21765,0.40999,2.38441,0.85558,0.000179507,0.000179507,0.000179507
19,109.198,0.47524,2.79134,0.90512,0.27469,0.41112,0.27048,0.2449,0.43041,2.25679,0.88486,0.000178536,0.000178536,0.000178536
20,114.815,0.4688,2.72167,0.92386,0.38706,0.38247,0.31434,0.28871,0.43471,2.12105,0.90547,0.000177566,0.000177566,0.000177566
21,120.41,0.46681,2.54709,0.90859,0.35751,0.43769,0.33369,0.30685,0.41713,2.0271,0.88844,0.000176596,0.000176596,0.000176596
22,126.059,0.46859,2.51143,0.92165,0.37803,0.4498,0.34745,0.31499,0.42237,1.99783,0.88518,0.000175626,0.000175626,0.000175626
23,131.734,0.46667,2.46976,0.92216,0.45153,0.35222,0.37209,0.33634,0.43737,1.97461,0.91072,0.000174656,0.000174656,0.000174656
24,137.383,0.4682,2.43699,0.93142,0.38792,0.46373,0.39244,0.36001,0.42912,1.9559,0.91372,0.000173685,0.000173685,0.000173685
25,143.024,0.4624,2.30511,0.92217,0.50283,0.37272,0.43418,0.40061,0.41318,1.89394,0.91687,0.000172715,0.000172715,0.000172715
26,148.637,0.45028,2.28151,0.91477,0.42269,0.46775,0.43994,0.40374,0.41367,1.81023,0.91425,0.000171745,0.000171745,0.000171745
27,154.382,0.45564,2.24448,0.91653,0.42674,0.51937,0.44812,0.41103,0.41264,1.76909,0.90645,0.000170775,0.000170775,0.000170775
28,160.048,0.45158,2.18303,0.92361,0.47544,0.51645,0.47664,0.43671,0.42066,1.72876,0.89498,0.000169805,0.000169805,0.000169805
29,165.707,0.45396,2.08353,0.90072,0.54491,0.48803,0.51271,0.47055,0.41612,1.65199,0.89852,0.000168834,0.000168834,0.000168834
30,171.484,0.45677,2.04578,0.91609,0.44484,0.53738,0.50315,0.46247,0.42105,1.58223,0.89533,0.000167864,0.000167864,0.000167864
31,177.072,0.44879,1.94579,0.91221,0.55944,0.4912,0.53898,0.4918,0.4285,1.55823,0.90755,0.000166894,0.000166894,0.000166894
32,182.694,0.45722,1.90451,0.92682,0.68605,0.48252,0.56464,0.52086,0.42199,1.50553,0.90189,0.000165924,0.000165924,0.000165924
33,188.301,0.43724,1.94203,0.931,0.52537,0.58305,0.56813,0.52576,0.4249,1.47027,0.90998,0.000164954,0.000164954,0.000164954
34,194.09,0.45342,1.85871,0.92499,0.54505,0.51982,0.58194,0.54358,0.40317,1.46144,0.89419,0.000163983,0.000163983,0.000163983
35,199.899,0.4387,1.84074,0.92121,0.64853,0.4567,0.60666,0.56366,0.41137,1.41749,0.90511,0.000163013,0.000163013,0.000163013
36,205.615,0.45175,1.72733,0.93755,0.67658,0.52602,0.62229,0.57312,0.41737,1.33978,0.89385,0.000162043,0.000162043,0.000162043
