epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.31714,1.20982,4.95576,1.3374,0,0,0,0,0.6653,4.67172,0.93678,1.176e-05,1.176e-05,1.176e-05
2,7.85324,1.02843,4.89208,1.23243,0,0,0,0,0.59868,4.68207,0.89809,2.53539e-05,2.53539e-05,2.53539e-05
3,11.1656,0.72864,4.7601,1.0351,0,0,0,0,0.58562,4.64383,0.87074,3.88119e-05,3.88119e-05,3.88119e-05
4,14.304,0.67909,4.65904,0.99768,0,0,0,0,0.54413,4.60299,0.84171,5.21341e-05,5.21341e-05,5.21341e-05
5,17.5181,0.63166,4.56628,0.95332,0,0,0,0,0.4782,4.50985,0.79995,6.53205e-05,6.53205e-05,6.53205e-05
6,20.6139,0.55067,4.47966,0.90749,0,0,0,0,0.47516,4.37721,0.78714,7.83711e-05,7.83711e-05,7.83711e-05
7,23.794,0.56113,4.42042,0.90147,0,0,0,0,0.4836,4.26803,0.77606,9.12858e-05,9.12858e-05,9.12858e-05
8,26.8507,0.5322,4.35604,0.8882,0,0,0,0,0.47395,4.21487,0.77376,0.000104065,0.000104065,0.000104065
9,30.0208,0.54771,4.3267,0.88896,0.00811,0.00387,0.00455,0.00371,0.45886,4.17552,0.77302,0.000116708,0.000116708,0.000116708
10,33.1627,0.51433,4.21057,0.87462,0.01071,0.0118,0.0083,0.00783,0.44853,4.15467,0.77292,0.000129215,0.000129215,0.000129215
11,36.3282,0.52012,4.1679,0.87018,0.00542,0.01799,0.00651,0.00621,0.47731,4.14164,0.77709,0.000141586,0.000141586,0.000141586
12,39.5487,0.49469,4.1226,0.86865,0.01469,0.07905,0.01424,0.01347,0.44975,4.09789,0.77981,0.000153822,0.000153822,0.000153822
13,42.6828,0.50677,4.09756,0.85734,0.02853,0.12334,0.03478,0.03326,0.44761,4.08202,0.78162,0.000165922,0.000165922,0.000165922
14,45.8542,0.51665,4.0622,0.88222,0.02876,0.16722,0.04122,0.03878,0.44286,4.02797,0.7842,0.000177886,0.000177886,0.000177886
15,48.9918,0.51214,4.01191,0.87225,0.02981,0.23681,0.0463,0.04281,0.42912,3.9683,0.78718,0.000182417,0.000182417,0.000182417
16,52.1345,0.4955,3.91842,0.86052,0.02535,0.32899,0.05393,0.05044,0.42961,3.89033,0.79049,0.000181447,0.000181447,0.000181447
17,55.2039,0.50039,3.97464,0.89258,0.02289,0.3659,0.05207,0.04844,0.4173,3.8415,0.79248,0.000180477,0.000180477,0.000180477
18,58.3998,0.4811,3.84732,0.86468,0.02418,0.50042,0.0614,0.05687,0.42392,3.71609,0.80097,0.000179507,0.000179507,0.000179507
19,61.6126,0.48241,3.75826,0.88268,0.02382,0.58478,0.07309,0.06766,0.41177,3.58632,0.8089,0.000178536,0.000178536,0.000178536
20,64.8303,0.45712,3.73178,0.87015,0.02207,0.62039,0.08479,0.0786,0.43838,3.50194,0.82072,0.000177566,0.000177566,0.000177566
21,67.9005,0.49239,3.66254,0.89851,0.02251,0.65976,0.0837,0.07704,0.4404,3.43124,0.82202,0.000176596,0.000176596,0.000176596
22,71.0466,0.46352,3.6396,0.87644,0.4503,0.11368,0.09281,0.08607,0.43859,3.27997,0.8305,0.000175626,0.000175626,0.000175626
23,74.3979,0.53116,3.69415,0.90131,0.4788,0.11966,0.10584,0.09771,0.43692,3.19031,0.83542,0.000174656,0.000174656,0.000174656
24,77.6041,0.46228,3.56475,0.88507,0.47682,0.15564,0.1088,0.09998,0.43842,3.13897,0.82795,0.000173685,0.000173685,0.000173685
25,80.6794,0.46445,3.42848,0.8678,0.49355,0.1506,0.11041,0.10127,0.43971,3.12857,0.82501,0.000172715,0.000172715,0.000172715
26,83.8143,0.47311,3.42238,0.88693,0.39316,0.15203,0.1065,0.09824,0.42488,3.05428,0.82477,0.000171745,0.000171745,0.000171745
27,86.9892,0.49395,3.3387,0.91201,0.39107,0.20814,0.11417,0.10497,0.44212,2.95464,0.84155,0.000170775,0.000170775,0.000170775
28,90.2251,0.44708,3.28859,0.88015,0.40361,0.2737,0.13512,0.1249,0.4606,2.86857,0.86047,0.000169805,0.000169805,0.000169805
29,93.3736,0.48943,3.2523,0.91232,0.41404,0.27309,0.14388,0.13124,0.45417,2.82484,0.8572,0.000168834,0.000168834,0.000168834
30,96.5355,0.46522,3.15988,0.89337,0.4516,0.21206,0.15147,0.13862,0.4246,2.79819,0.84356,0.000167864,0.000167864,0.000167864
31,99.7045,0.46319,3.13183,0.87659,0.52438,0.16576,0.15794,0.14502,0.41638,2.85993,0.84531,0.000166894,0.000166894,0.000166894
32,102.89,0.46178,3.10576,0.89298,0.3408,0.25011,0.15908,0.14587,0.42393,2.82972,0.8509,0.000165924,0.000165924,0.000165924
33,106.022,0.46488,3.12843,0.87645,0.36454,0.3039,0.17392,0.15904,0.43406,2.70052,0.85074,0.000164954,0.000164954,0.000164954
34,109.271,0.47786,3.00645,0.92451,0.35709,0.40114,0.20264,0.18576,0.45506,2.62193,0.86348,0.000163983,0.000163983,0.000163983
35,112.601,0.45832,2.90892,0.91291,0.43728,0.29323,0.2099,0.19327,0.45086,2.53435,0.87596,0.000163013,0.000163013,0.000163013
36,115.787,0.4837,3.211,0.96645,0.38954,0.33488,0.23425,0.2143,0.43652,2.43611,0.87523,0.000162043,0.000162043,0.000162043
37,118.891,0.44763,2.84946,0.91365,0.38396,0.33798,0.23604,0.21611,0.43311,2.43718,0.88062,0.000161073,0.000161073,0.000161073
38,122.034,0.45133,2.70066,0.90044,0.41598,0.32737,0.24684,0.22396,0.44898,2.45585,0.89923,0.000160103,0.000160103,0.000160103
39,125.209,0.44346,2.80847,0.89166,0.34059,0.34016,0.25747,0.234,0.44721,2.45237,0.90329,0.000159132,0.000159132,0.000159132
40,128.457,0.46584,2.71791,0.91333,0.43779,0.29353,0.25657,0.23565,0.43483,2.43647,0.89946,0.000158162,0.000158162,0.000158162
41,131.584,0.44468,2.74619,0.89606,0.32531,0.40053,0.25785,0.23866,0.43206,2.40354,0.89608,0.000157192,0.000157192,0.000157192
