epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.36593,1.17976,4.92333,1.33765,0,0,0,0,0.63524,4.65052,0.8899,3.73333e-05,3.73333e-05,3.73333e-05
2,17.0472,0.74247,4.69757,1.03966,0,0,0,0,0.4835,4.38017,0.79234,7.65287e-05,7.65287e-05,7.65287e-05
3,24.6601,0.62755,4.46901,0.95114,0.00449,0.00387,0.00337,0.00289,0.46273,4.2005,0.77945,0.000115705,0.000115705,0.000115705
4,32.2298,0.59693,4.27718,0.93772,0.01618,0.17792,0.02198,0.0198,0.46607,4.07634,0.78881,0.000154848,0.000154848,0.000154848
5,39.6765,0.57908,4.15215,0.93819,0.01896,0.37141,0.04409,0.04081,0.45206,3.89638,0.78117,0.000193944,0.000193944,0.000193944
6,47.1139,0.53569,3.98426,0.90738,0.01971,0.46905,0.05069,0.04732,0.45051,3.74616,0.79286,0.000195701,0.000195701,0.000195701
7,54.5099,0.53078,3.80831,0.91388,0.0199,0.59137,0.07634,0.07126,0.41997,3.50967,0.80675,0.000195569,0.000195569,0.000195569
8,62.0344,0.52963,3.66779,0.92934,0.46752,0.11611,0.08331,0.07609,0.4549,3.24163,0.83301,0.000195414,0.000195414,0.000195414
9,69.5001,0.53167,3.50228,0.92178,0.44322,0.16437,0.09645,0.08781,0.43799,3.08673,0.82635,0.000195235,0.000195235,0.000195235
10,77.0287,0.55381,3.4043,0.95657,0.40554,0.25939,0.12462,0.11252,0.43508,2.87451,0.83626,0.000195032,0.000195032,0.000195032
11,84.5266,0.53358,3.20081,0.9301,0.45397,0.21771,0.16754,0.15139,0.44003,2.93271,0.84463,0.000194806,0.000194806,0.000194806
12,92.0581,0.5382,3.09601,0.95098,0.51942,0.20757,0.18913,0.17173,0.42317,2.76158,0.82734,0.000194555,0.000194555,0.000194555
13,99.5783,0.5232,2.91271,0.93908,0.46325,0.26497,0.19332,0.17613,0.4197,2.83487,0.82997,0.000194282,0.000194282,0.000194282
14,107.117,0.52174,2.87209,0.93969,0.42477,0.33049,0.20544,0.18622,0.42599,2.56192,0.85206,0.000193984,0.000193984,0.000193984
15,114.614,0.48485,2.65796,0.93894,0.44349,0.29418,0.21364,0.19449,0.41538,2.51292,0.85074,0.000193663,0.000193663,0.000193663
16,122.195,0.52034,2.6418,0.94132,0.44956,0.31603,0.24135,0.22326,0.41494,2.41207,0.8597,0.000193319,0.000193319,0.000193319
17,129.749,0.52171,2.58134,0.94831,0.45418,0.31201,0.28066,0.25997,0.40921,2.26892,0.86184,0.000192952,0.000192952,0.000192952
18,137.18,0.47339,2.42025,0.92896,0.47802,0.32641,0.31028,0.28559,0.42011,2.11401,0.86463,0.000192561,0.000192561,0.000192561
19,144.765,0.48462,2.44864,0.94923,0.52413,0.34224,0.325,0.29933,0.42186,2.0659,0.87093,0.000192148,0.000192148,0.000192148
20,152.323,0.47316,2.27586,0.93712,0.54014,0.30725,0.35627,0.33063,0.40326,2.0402,0.8603,0.000191711,0.000191711,0.000191711
21,159.808,0.46088,2.24225,0.92169,0.54197,0.33706,0.36554,0.34069,0.41164,2.01565,0.86927,0.000191252,0.000191252,0.000191252
22,167.219,0.47889,2.21183,0.94011,0.70442,0.34552,0.41152,0.37718,0.41831,1.89794,0.88057,0.000190769,0.000190769,0.000190769
23,174.71,0.46258,2.10212,0.92275,0.67069,0.40856,0.45348,0.41853,0.41343,1.83116,0.86216,0.000190264,0.000190264,0.000190264
24,182.322,0.4607,2.09791,0.92623,0.65929,0.41161,0.46838,0.43154,0.41138,1.78853,0.86247,0.000189737,0.000189737,0.000189737
25,189.885,0.47556,2.01564,0.92549,0.65506,0.42319,0.45774,0.42205,0.40649,1.81155,0.87136,0.000189187,0.000189187,0.000189187
26,197.385,0.43906,1.85802,0.91118,0.64817,0.46806,0.50222,0.46282,0.41273,1.69595,0.86864,0.000188615,0.000188615,0.000188615
27,204.942,0.48043,1.9322,0.93633,0.59846,0.46008,0.51738,0.47777,0.41115,1.69444,0.87422,0.000188021,0.000188021,0.000188021
28,212.409,0.45983,1.82294,0.92201,0.62516,0.53291,0.53846,0.49565,0.40691,1.61785,0.86328,0.000187404,0.000187404,0.000187404
29,219.856,0.43465,1.72783,0.91388,0.53533,0.58158,0.55842,0.51738,0.39768,1.61284,0.85465,0.000186766,0.000186766,0.000186766
30,227.339,0.44495,1.75166,0.92775,0.58111,0.57527,0.55708,0.51688,0.3963,1.5323,0.85849,0.000186107,0.000186107,0.000186107
31,234.936,0.43926,1.65606,0.92656,0.56982,0.56454,0.56227,0.51905,0.40119,1.57308,0.8514,0.000185425,0.000185425,0.000185425
32,242.6,0.42732,1.63247,0.89903,0.66265,0.54553,0.58249,0.53669,0.40748,1.51088,0.86376,0.000184723,0.000184723,0.000184723
33,249.974,0.4351,1.59277,0.91826,0.61735,0.60813,0.61171,0.56545,0.41369,1.47979,0.8628,0.000183999,0.000183999,0.000183999
34,257.403,0.43034,1.60163,0.91265,0.66178,0.59687,0.62741,0.58095,0.41084,1.38636,0.8764,0.000183255,0.000183255,0.000183255
35,264.888,0.42349,1.51061,0.91241,0.64463,0.63141,0.62909,0.58257,0.42383,1.38827,0.88635,0.000182489,0.000182489,0.000182489
36,272.509,0.44827,1.59484,0.90919,0.67258,0.63159,0.64893,0.60314,0.4068,1.35792,0.86893,0.000181703,0.000181703,0.000181703
37,279.978,0.41022,1.48218,0.90702,0.64401,0.60095,0.6288,0.58384,0.40115,1.3452,0.85839,0.000180897,0.000180897,0.000180897
38,287.418,0.41012,1.42915,0.90866,0.67177,0.61679,0.65125,0.60585,0.39793,1.34093,0.86359,0.00018007,0.00018007,0.00018007
39,294.99,0.42312,1.41302,0.91367,0.68335,0.63608,0.62321,0.57731,0.41584,1.40944,0.86854,0.000179223,0.000179223,0.000179223
40,302.617,0.40829,1.36835,0.89509,0.71501,0.60652,0.65877,0.6134,0.39868,1.29429,0.8558,0.000178357,0.000178357,0.000178357
41,310.144,0.42101,1.42652,0.91335,0.68041,0.62113,0.63089,0.58514,0.39471,1.28237,0.8607,0.000177471,0.000177471,0.000177471
42,317.597,0.40997,1.34863,0.89869,0.71376,0.61118,0.64289,0.5944,0.39771,1.29158,0.857,0.000176565,0.000176565,0.000176565
43,324.973,0.41291,1.30547,0.89764,0.74296,0.60714,0.65245,0.60352,0.39871,1.26812,0.85388,0.000175641,0.000175641,0.000175641
44,332.578,0.40882,1.3058,0.90008,0.77921,0.62615,0.66021,0.61308,0.39746,1.25362,0.85964,0.000174697,0.000174697,0.000174697
45,340.09,0.40891,1.32587,0.90325,0.73513,0.62984,0.68035,0.6281,0.40385,1.22904,0.86497,0.000173735,0.000173735,0.000173735
46,347.486,0.39691,1.25002,0.89665,0.77372,0.59253,0.6587,0.61537,0.39426,1.20463,0.86459,0.000172755,0.000172755,0.000172755
47,354.941,0.42714,1.38263,0.9143,0.69307,0.63006,0.6611,0.60717,0.41084,1.17728,0.86738,0.000171756,0.000171756,0.000171756
48,362.586,0.42417,1.32453,0.90027,0.81791,0.5846,0.67068,0.61817,0.40074,1.21977,0.86609,0.000170739,0.000170739,0.000170739
49,370.033,0.40464,1.27066,0.90304,0.6776,0.65431,0.69185,0.63961,0.3968,1.10204,0.87135,0.000169705,0.000169705,0.000169705
50,377.404,0.39886,1.22421,0.90403,0.69957,0.68004,0.69935,0.6498,0.39642,1.10258,0.85966,0.000168653,0.000168653,0.000168653
51,384.96,0.38414,1.14631,0.89529,0.67877,0.67722,0.7117,0.66114,0.39581,1.11186,0.85623,0.000167583,0.000167583,0.000167583
52,392.487,0.4116,1.20403,0.90259,0.77151,0.63994,0.70077,0.65199,0.39947,1.09771,0.85992,0.000166497,0.000166497,0.000166497
53,399.948,0.41345,1.23831,0.90024,0.77334,0.62268,0.71518,0.66721,0.38756,1.09257,0.85112,0.000165395,0.000165395,0.000165395
54,407.336,0.39851,1.17351,0.89734,0.71637,0.67107,0.73479,0.68295,0.38881,1.06888,0.84969,0.000164276,0.000164276,0.000164276
55,414.903,0.3898,1.10854,0.88258,0.84316,0.59696,0.73777,0.68323,0.39495,1.07536,0.8569,0.00016314,0.00016314,0.00016314
56,422.457,0.39255,1.16359,0.89184,0.76048,0.61575,0.71998,0.67189,0.38643,1.05593,0.8508,0.000161989,0.000161989,0.000161989
57,429.965,0.38389,1.10662,0.87955,0.75661,0.62832,0.71418,0.66435,0.39238,1.07877,0.85179,0.000160823,0.000160823,0.000160823
58,437.459,0.38539,1.14707,0.89032,0.76143,0.64603,0.72578,0.67778,0.39105,1.08942,0.85165,0.000159641,0.000159641,0.000159641
59,445.027,0.39447,1.16837,0.89271,0.75801,0.62689,0.71602,0.66491,0.39445,1.08339,0.85506,0.000158444,0.000158444,0.000158444
60,452.591,0.37289,1.08271,0.882,0.6902,0.67021,0.7142,0.66313,0.39555,1.05999,0.87241,0.000157233,0.000157233,0.000157233
61,460.091,0.37736,1.10645,0.89113,0.83572,0.62838,0.7269,0.67633,0.3805,1.03457,0.85576,0.000156007,0.000156007,0.000156007
62,467.521,0.41126,1.17105,0.89893,0.7108,0.67213,0.72886,0.67754,0.38807,1.05301,0.85257,0.000154767,0.000154767,0.000154767
63,474.975,0.37655,1.058,0.88624,0.66177,0.69727,0.7181,0.67286,0.38804,1.10353,0.84983,0.000153513,0.000153513,0.000153513
64,482.512,0.38634,1.10871,0.88468,0.67028,0.67839,0.7242,0.67543,0.40377,1.04058,0.86231,0.000152246,0.000152246,0.000152246
65,490.035,0.37478,1.03974,0.87848,0.74755,0.67129,0.74305,0.69227,0.39213,1.04812,0.85725,0.000150966,0.000150966,0.000150966
66,497.589,0.37398,1.07342,0.88543,0.78238,0.63631,0.74959,0.69645,0.39544,1.05576,0.86221,0.000149673,0.000149673,0.000149673
67,505.177,0.38034,1.0283,0.87847,0.81581,0.6274,0.75571,0.70382,0.39399,1.03955,0.85611,0.000148367,0.000148367,0.000148367
68,512.723,0.36187,1.00323,0.86965,0.71704,0.68057,0.76568,0.71298,0.38628,0.99274,0.85192,0.000147049,0.000147049,0.000147049
69,520.187,0.38423,1.04793,0.87875,0.73193,0.71507,0.78534,0.73054,0.38751,0.96336,0.85151,0.00014572,0.00014572,0.00014572
70,527.727,0.39578,1.07398,0.8959,0.69329,0.71873,0.7819,0.72879,0.39211,0.9877,0.85426,0.000144379,0.000144379,0.000144379
71,535.217,0.36289,0.99994,0.87567,0.73208,0.68953,0.74406,0.69248,0.39311,1.02474,0.85267,0.000143026,0.000143026,0.000143026
72,542.763,0.37401,1.0221,0.88785,0.77785,0.68149,0.75987,0.70569,0.39793,1.00853,0.86301,0.000141663,0.000141663,0.000141663
73,550.413,0.36115,0.96072,0.87265,0.70841,0.71095,0.76624,0.71383,0.39112,1.0524,0.85885,0.000140289,0.000140289,0.000140289
74,557.802,0.3704,0.9759,0.86942,0.72677,0.71952,0.76167,0.70722,0.39178,1.0974,0.86333,0.000138905,0.000138905,0.000138905
75,565.233,0.36501,0.96051,0.8793,0.69547,0.74242,0.77625,0.71943,0.39265,1.04332,0.86542,0.000137511,0.000137511,0.000137511
76,572.694,0.35595,0.94295,0.87777,0.70937,0.73377,0.78643,0.7283,0.39221,0.99986,0.86195,0.000136108,0.000136108,0.000136108
77,580.267,0.36973,1.00768,0.88059,0.71046,0.73109,0.78716,0.73312,0.38388,0.98875,0.85678,0.000134695,0.000134695,0.000134695
78,587.852,0.35592,0.95916,0.86948,0.74166,0.70466,0.7854,0.73283,0.39459,0.97822,0.85705,0.000133274,0.000133274,0.000133274
79,595.332,0.35383,0.92991,0.86661,0.66954,0.74981,0.77778,0.72402,0.39256,0.98177,0.85807,0.000131844,0.000131844,0.000131844
